month,actual,forecast
2/1/2018 0:00,579873,601169.43
3/1/2018 0:00,583934,601169.43
4/1/2018 0:00,594163,601169.43
5/1/2018 0:00,589993,601169.43
6/1/2018 0:00,582150,601169.43
7/1/2018 0:00,598000,601169.43
8/1/2018 0:00,601250,601169.43
9/1/2018 0:00,610000,601169.43
10/1/2018 0:00,625000,601169.43
11/1/2018 0:00,650000,663982.28
12/1/2018 0:00,658000,663982.28
1/1/2019 0:00,660000,663982.28
2/1/2019 0:00,665000,663982.28
3/1/2019 0:00,670000,663982.28
4/1/2019 0:00,672000,663982.28
5/1/2019 0:00,675000,663982.28
6/1/2019 0:00,678000,663982.28
7/1/2019 0:00,680000,663982.28
8/1/2019 0:00,750000,726795.13
9/1/2019 0:00,760000,789607.98
10/1/2019 0:00,765000,789607.98
11/1/2019 0:00,770000,789607.98
12/1/2019 0:00,775000,789607.98
1/1/2020 0:00,780000,789607.98
2/1/2020 0:00,785000,789607.98
3/1/2020 0:00,850000,852420.83
4/1/2020 0:00,940000,915233.68
5/1/2020 0:00,930000,915233.68
6/1/2020 0:00,920000,915233.68
7/1/2020 0:00,1020000,1040859.38
8/1/2020 0:00,1010000,1040859.38
9/1/2020 0:00,1000000,978046.53
10/1/2020 0:00,990000,978046.53
11/1/2020 0:00,980000,978046.53
12/1/2020 0:00,960000,978046.53
1/1/2021 0:00,950000,978046.53
2/1/2021 0:00,940000,915233.68
3/1/2021 0:00,930000,915233.68
4/1/2021 0:00,920000,915233.68
5/1/2021 0:00,910000,915233.68
6/1/2021 0:00,900000,915233.68
7/1/2021 0:00,890000,915233.68
8/1/2021 0:00,880000,852420.83
9/1/2021 0:00,870000,852420.83
10/1/2021 0:00,860000,852420.83
11/1/2021 0:00,850000,852420.83
12/1/2021 0:00,840000,852420.83
1/1/2022 0:00,830000,852420.83
2/1/2022 0:00,820000,789607.98
3/1/2022 0:00,810000,789607.98
4/1/2022 0:00,850000,852420.83
5/1/2022 0:00,890000,915233.68
6/1/2022 0:00,930000,915233.68
7/1/2022 0:00,970000,978046.53
8/1/2022 0:00,960000,978046.53
9/1/2022 0:00,950000,978046.53
10/1/2022 0:00,940000,915233.68
11/1/2022 0:00,980000,978046.53
12/1/2022 0:00,1020000,1040859.38
1/1/2023 0:00,1030000,1040859.38
2/1/2023 0:00,1015000,1040859.38
3/1/2023 0:00,1010000,1040859.38
4/1/2023 0:00,1050000,1040859.38
5/1/2023 0:00,1040000,1040859.38
6/1/2023 0:00,1060000,1040859.38
7/1/2023 0:00,954199,978046.53
8/1/2023 0:00,950151,978046.53
9/1/2023 0:00,920863,915233.68
10/1/2023 0:00,1010881,1040859.38
11/1/2023 0:00,1020548,1040859.38
12/1/2023 0:00,1020702,1040859.38
1/1/2024 0:00,1034609,1040859.38
2/1/2024 0:00,1032718,1040859.38
3/1/2024 0:00,1144430,1166485.08
4/1/2024 0:00,1198769,1229297.93
5/1/2024 0:00,1216236,1229297.93
6/1/2024 0:00,1222195,1229297.93
7/1/2024 0:00,1278844,1292110.78
8/1/2024 0:00,1250141,1229297.93
9/1/2024 0:00,1288365,1292110.78
10/1/2024 0:00,1388652,1417736.48
11/1/2024 0:00,1351090,1354923.63
12/1/2024 0:00,1357613,1354923.63
1/1/2025 0:00,1465571,1480549.33
2/1/2025 0:00,1518703,1543362.18
3/1/2025 0:00,1659994,1668987.88
4/1/2025 0:00,1745782,1731800.73
5/1/2025 0:00,1731187,1731800.73
6/1/2025 0:00,1722603,1731800.73
7/1/2025 0:00,1738511,1731800.73
8/1/2025 0:00,1826020,1794613.58
