month,forecast
2/1/2018 0:00,601169.425
3/1/2018 0:00,601169.425
4/1/2018 0:00,601169.425
5/1/2018 0:00,601169.425
6/1/2018 0:00,601169.425
7/1/2018 0:00,601169.425
8/1/2018 0:00,601169.425
9/1/2018 0:00,601169.425
10/1/2018 0:00,601169.425
11/1/2018 0:00,663982.275
12/1/2018 0:00,663982.275
1/1/2019 0:00,663982.275
2/1/2019 0:00,663982.275
3/1/2019 0:00,663982.275
4/1/2019 0:00,663982.275
5/1/2019 0:00,663982.275
6/1/2019 0:00,663982.275
7/1/2019 0:00,663982.275
8/1/2019 0:00,726795.125
9/1/2019 0:00,789607.975
10/1/2019 0:00,789607.975
11/1/2019 0:00,789607.975
12/1/2019 0:00,789607.975
1/1/2020 0:00,789607.975
2/1/2020 0:00,789607.975
3/1/2020 0:00,852420.825
4/1/2020 0:00,915233.675
5/1/2020 0:00,915233.675
6/1/2020 0:00,915233.675
7/1/2020 0:00,1040859.375
8/1/2020 0:00,1040859.375
9/1/2020 0:00,978046.525
10/1/2020 0:00,978046.525
11/1/2020 0:00,978046.525
12/1/2020 0:00,978046.525
1/1/2021 0:00,978046.525
2/1/2021 0:00,915233.675
3/1/2021 0:00,915233.675
4/1/2021 0:00,915233.675
5/1/2021 0:00,915233.675
6/1/2021 0:00,915233.675
7/1/2021 0:00,915233.675
8/1/2021 0:00,852420.825
9/1/2021 0:00,852420.825
10/1/2021 0:00,852420.825
11/1/2021 0:00,852420.825
12/1/2021 0:00,852420.825
1/1/2022 0:00,852420.825
2/1/2022 0:00,789607.975
3/1/2022 0:00,789607.975
4/1/2022 0:00,852420.825
5/1/2022 0:00,915233.675
6/1/2022 0:00,915233.675
7/1/2022 0:00,978046.525
8/1/2022 0:00,978046.525
9/1/2022 0:00,978046.525
10/1/2022 0:00,915233.675
11/1/2022 0:00,978046.525
12/1/2022 0:00,1040859.375
1/1/2023 0:00,1040859.375
2/1/2023 0:00,1040859.375
3/1/2023 0:00,1040859.375
4/1/2023 0:00,1040859.375
5/1/2023 0:00,1040859.375
6/1/2023 0:00,1040859.375
7/1/2023 0:00,978046.525
8/1/2023 0:00,978046.525
9/1/2023 0:00,915233.675
10/1/2023 0:00,1040859.375
11/1/2023 0:00,1040859.375
12/1/2023 0:00,1040859.375
1/1/2024 0:00,1040859.375
2/1/2024 0:00,1040859.375
3/1/2024 0:00,1166485.075
4/1/2024 0:00,1229297.925
5/1/2024 0:00,1229297.925
6/1/2024 0:00,1229297.925
7/1/2024 0:00,1292110.775
8/1/2024 0:00,1229297.925
9/1/2024 0:00,1292110.775
10/1/2024 0:00,1417736.475
11/1/2024 0:00,1354923.625
12/1/2024 0:00,1354923.625
1/1/2025 0:00,1480549.325
2/1/2025 0:00,1543362.175
3/1/2025 0:00,1668987.875
4/1/2025 0:00,1731800.725
5/1/2025 0:00,1731800.725
6/1/2025 0:00,1731800.725
7/1/2025 0:00,1731800.725
8/1/2025 0:00,1794613.575
9/1/2025 0:00,1813333.594
10/1/2025 0:00,1789402.71
11/1/2025 0:00,1819023.473
12/1/2025 0:00,1852013.083
1/1/2026 0:00,1785788.871
2/1/2026 0:00,1785789.489
3/1/2026 0:00,1854130.49
4/1/2026 0:00,1823536.433
5/1/2026 0:00,1776920.16
6/1/2026 0:00,1815061.421
7/1/2026 0:00,1777148.423
8/1/2026 0:00,1777061.287
